county_name,state,mobility_rate
DeWitt, TX,0.2421
Auglaize, OH,0.2418
Washington, OK,0.2412
Clay, SD,0.2407
Warren, NY,0.2406
Codington, SD,0.2396
Lake, OH,0.2395
Providence, RI,0.2392
Jackson, TX,0.2391
Medina, OH,0.2383
Galveston, TX,0.238
Davis, UT,0.2379
Refugio, TX,0.2377
Freestone, TX,0.2357
Hockley, TX,0.2355
Colorado, TX,0.2354
Clarion, PA,0.2352
Comal, TX,0.2349
Wise, TX,0.234
Carbon, UT,0.2336
Schuylkill, PA,0.2335
Parker, TX,0.2332
Washington, VT,0.2331
Oneida, NY,0.232
Mitchell, TX,0.2314
Victoria, TX,0.2313
Tompkins, NY,0.2309
Cleveland, OK,0.2307
Carbon, PA,0.2302
Jefferson, OK,0.2295
Lancaster, PA,0.2292
Adams, PA,0.2287
Wasatch, UT,0.2286
Hamilton, OH,0.2285
Belmont, OH,0.2273
Beadle, SD,0.2264
Windsor, VT,0.2263
Utah, UT,0.226
Moody, SD,0.2258
Columbia, PA,0.2257
Young, TX,0.2256
Lebanon, PA,0.2253
Burleson, TX,0.2248
Matagorda, TX,0.2246
Lawrence, PA,0.2245
Roberts, SD,0.224
Potter, PA,0.2238
Pecos, TX,0.2229
Blaine, OK,0.2227
Harris, TX,0.2227
Custer, SD,0.2222
Clay, TX,0.2222
Bradford, PA,0.2219
Cooke, TX,0.2219
Ottawa, OH,0.2214
Stephens, OK,0.2212
Fairfield, OH,0.221
Union, PA,0.2208
Wilson, TX,0.2208
Salt Lake, UT,0.2208
Rutland, VT,0.2206
Butler, OH,0.2205
Hood, TX,0.2197
Madison, NY,0.2192
Fayette, PA,0.2191
Brazos, TX,0.2189
Fall River, SD,0.2185
Payne, OK,0.2183
Hamilton, TX,0.2178
Hancock, OH,0.2177
Bon Homme, SD,0.2177
Dauphin, PA,0.2175
Montague, TX,0.2175
Monroe, PA,0.2173
Butte, SD,0.2169
Liberty, TX,0.2163
Livingston, NY,0.2155
Howard, TX,0.2146
Waller, TX,0.2145
Greene, OH,0.2144
Texas, OK,0.2144
Jefferson, TX,0.2139
Zapata, TX,0.213
Union, OH,0.2125
Mercer, PA,0.2123
Lewis, NY,0.2122
Wayne, PA,0.2121
Moore, TN,0.2118
Erie, PA,0.2114
Henry, OH,0.2113
Tarrant, TX,0.2112
Sullivan, NY,0.2111
Tulsa, OK,0.211
Niagara, NY,0.2107
Brewster, TX,0.2106
Otsego, NY,0.2105
Hays, TX,0.2103
Wharton, TX,0.2098
Shelby, OH,0.2095
Seneca, NY,0.2088
St. Lawrence, NY,0.2083
Oswego, NY,0.2081
Miami, OH,0.208
Gregg, TX,0.208
Montgomery, NY,0.2079
Garfield, OK,0.2078
Ellis, TX,0.2076
Clermont, OH,0.2074
Morrow, OR,0.2074
Pennington, SD,0.2073
Cuyahoga, OH,0.2071
McClain, OK,0.2071
Franklin, PA,0.2065
Perry, PA,0.2064
Charles Mix, SD,0.2063
Rogers, OK,0.2059
McKean, PA,0.2059
Travis, TX,0.2057
Steuben, NY,0.2055
Tioga, NY,0.2053
Mahoning, OH,0.2051
Monroe, OH,0.205
Grady, OK,0.205
Lycoming, PA,0.205
Blair, PA,0.2049
Karnes, TX,0.2048
Millard, UT,0.2046
Somerset, PA,0.2043
Susquehanna, PA,0.2042
Cache, UT,0.2042
Moore, TX,0.2041
Callahan, TX,0.203
Northumberland, PA,0.2029
Summit, OH,0.2027
Wyoming, NY,0.2026
Kay, OK,0.202
Crawford, PA,0.202
Addison, VT,0.2019
Tioga, PA,0.2018
Duval, TX,0.2012
Herkimer, NY,0.201
Mecklenburg, NC,0.2009
Franklin, VT,0.2008
Jefferson, PA,0.2003
Defiance, OH,0.2
Noble, OK,0.1999
Erath, TX,0.1997
Erie, OH,0.1996
San Juan, UT,0.199
San Patricio, TX,0.1987
Fulton, OH,0.1985
Logan, OK,0.1985
Johnson, TX,0.1984
Lake, OR,0.1981
Jim Wells, TX,0.1973
Clearfield, PA,0.1972
Aransas, TX,0.1972
Schoharie, NY,0.1968
Washington, OH,0.1965
Murray, OK,0.1962
Bennington, VT,0.1961
Box Elder, UT,0.1959
Jefferson, NY,0.1958
Eastland, TX,0.1957
Wayne, NY,0.1953
Jefferson, OH,0.1953
Reeves, TX,0.1952
Van Wert, OH,0.1951
Parmer, TX,0.1943
Walker, TX,0.1934
Washington, NY,0.1932
Franklin, OH,0.1931
Stark, OH,0.1929
Milam, TX,0.1929
Smith, TX,0.1917
Paulding, OH,0.1914
Tuscarawas, OH,0.1914
Lexington, SC,0.1913
Wagoner, OK,0.1912
Lane, OR,0.1912
Windham, VT,0.191
Deschutes, OR,0.1907
Davie, NC,0.1904
Kerr, TX,0.1903
Portage, OH,0.1901
Sumner, TN,0.1898
Wilson, TN,0.1898
Johnston, OK,0.1897
Multnomah, OR,0.1897
Wyandot, OH,0.1895
Rusk, TX,0.1895
Snyder, PA,0.1893
Pontotoc, OK,0.189
Lucas, OH,0.1889
Noble, OH,0.1888
Wichita, TX,0.1886
Harrison, OH,0.1883
Meade, SD,0.1883
Kleberg, TX,0.1881
Washington, UT,0.1877
Darke, OH,0.1876
