cty,Name,Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall
cty40115,"Ottawa County, OK",0.1413
cty45071,"Newberry County, SC",0.141
cty48395,"Robertson County, TX",0.141
cty40111,"Okmulgee County, OK",0.1409
cty48079,"Cochran County, TX",0.1408
cty37175,"Transylvania County, NC",0.1404
cty37169,"Stokes County, NC",0.1402
cty39031,"Coshocton County, OH",0.1401
cty48145,"Falls County, TX",0.1401
cty37087,"Haywood County, NC",0.1396
cty47159,"Smith County, TN",0.1395
cty47105,"Loudon County, TN",0.1392
cty45043,"Georgetown County, SC",0.1391
cty48437,"Swisher County, TX",0.139
cty47117,"Marshall County, TN",0.1388
cty39001,"Adams County, OH",0.1387
cty37071,"Gaston County, NC",0.1384
cty37159,"Rowan County, NC",0.1384
cty37103,"Jones County, NC",0.1383
cty37195,"Wilson County, NC",0.1382
cty48169,"Garza County, TX",0.1382
cty39087,"Lawrence County, OH",0.138
cty45007,"Anderson County, SC",0.1371
cty48449,"Titus County, TX",0.137
cty48225,"Houston County, TX",0.1364
cty39105,"Meigs County, OH",0.1355
cty47157,"Shelby County, TN",0.1353
cty40033,"Cotton County, OK",0.1349
cty45041,"Florence County, SC",0.1343
cty47125,"Montgomery County, TN",0.1341
cty41045,"Malheur County, OR",0.134
cty40127,"Pushmataha County, OK",0.1339
cty37057,"Davidson County, NC",0.1333
cty47071,"Hardin County, TN",0.1332
cty37099,"Jackson County, NC",0.1325
cty45051,"Horry County, SC",0.1322
cty37077,"Granville County, NC",0.1319
cty39075,"Holmes County, OH",0.1318
cty39127,"Perry County, OH",0.1315
cty48375,"Potter County, TX",0.1315
cty40021,"Cherokee County, OK",0.1314
cty48099,"Coryell County, TX",0.1314
cty48141,"El Paso County, TX",0.1314
cty48189,"Hale County, TX",0.131
cty48313,"Madison County, TX",0.1309
cty47055,"Giles County, TN",0.1308
cty37113,"Macon County, NC",0.1305
cty45015,"Berkeley County, SC",0.13
cty45055,"Kershaw County, SC",0.13
cty47129,"Morgan County, TN",0.1299
cty48387,"Red River County, TX",0.1299
cty37011,"Avery County, NC",0.1294
cty47107,"McMinn County, TN",0.1293
cty37151,"Randolph County, NC",0.1292
cty38079,"Rolette County, ND",0.1289
cty47171,"Unicoi County, TN",0.1286
cty37163,"Sampson County, NC",0.1282
cty37191,"Wayne County, NC",0.128
cty40141,"Tillman County, OK",0.1278
cty47115,"Marion County, TN",0.1278
cty48479,"Webb County, TX",0.1276
cty47161,"Stewart County, TN",0.1273
cty37145,"Person County, NC",0.1272
cty47079,"Henry County, TN",0.1272
cty39071,"Highland County, OH",0.1265
cty39015,"Brown County, OH",0.1262
cty47167,"Tipton County, TN",0.1261
cty47131,"Obion County, TN",0.126
cty47063,"Hamblen County, TN",0.1259
cty37157,"Rockingham County, NC",0.1257
cty37139,"Pasquotank County, NC",0.1253
cty37121,"Mitchell County, NC",0.1251
cty40135,"Sequoyah County, OK",0.1251
cty48427,"Starr County, TX",0.1246
cty47099,"Lawrence County, TN",0.1242
cty37045,"Cleveland County, NC",0.1241
cty48215,"Hidalgo County, TX",0.1241
cty37085,"Harnett County, NC",0.124
cty47109,"McNairy County, TN",0.124
cty40041,"Delaware County, OK",0.1239
cty37003,"Alexander County, NC",0.1237
cty48323,"Maverick County, TX",0.1236
cty37143,"Perquimans County, NC",0.1235
cty37133,"Onslow County, NC",0.123
cty47089,"Jefferson County, TN",0.1226
cty48377,"Presidio County, TX",0.1225
cty37199,"Yancey County, NC",0.122
cty47053,"Gibson County, TN",0.122
cty47185,"White County, TN",0.122
cty40133,"Seminole County, OK",0.1216
cty45031,"Darlington County, SC",0.1216
cty47135,"Perry County, TN",0.1216
cty39079,"Jackson County, OH",0.1208
cty47169,"Trousdale County, TN",0.1206
cty47121,"Meigs County, TN",0.1193
cty47143,"Rhea County, TN",0.1192
cty37069,"Franklin County, NC",0.1188
cty37005,"Alleghany County, NC",0.1185
cty37023,"Burke County, NC",0.1185
cty48315,"Marion County, TX",0.1185
cty47083,"Houston County, TN",0.1183
cty48061,"Cameron County, TX",0.1181
cty48163,"Frio County, TX",0.118
cty39073,"Hocking County, OH",0.1179
cty48055,"Caldwell County, TX",0.1179
cty48127,"Dimmit County, TX",0.1178
cty37019,"Brunswick County, NC",0.1174
cty48283,"La Salle County, TX",0.1174
cty37079,"Greene County, NC",0.1173
cty45037,"Edgefield County, SC",0.1171
cty47087,"Jackson County, TN",0.117
cty40091,"McIntosh County, OK",0.1163
cty47101,"Lewis County, TN",0.1162
cty47177,"Warren County, TN",0.1162
cty39047,"Fayette County, OH",0.1161
cty47077,"Henderson County, TN",0.1161
cty40107,"Okfuskee County, OK",0.1158
cty37153,"Richmond County, NC",0.1153
cty39131,"Pike County, OH",0.1152
cty40089,"McCurtain County, OK",0.1149
cty45081,"Saluda County, SC",0.1148
cty45085,"Sumter County, SC",0.1148
cty47181,"Wayne County, TN",0.1148
cty37027,"Caldwell County, NC",0.1147
cty37051,"Cumberland County, NC",0.1147
cty37015,"Bertie County, NC",0.114
cty47133,"Overton County, TN",0.1139
cty37111,"McDowell County, NC",0.1135
cty47047,"Fayette County, TN",0.1135
cty47155,"Sevier County, TN",0.1133
cty37033,"Caswell County, NC",0.1131
cty37061,"Duplin County, NC",0.1126
cty45047,"Greenwood County, SC",0.1126
cty37161,"Rutherford County, NC",0.1124
cty40023,"Choctaw County, OK",0.1115
cty37141,"Pender County, NC",0.1107
cty37039,"Cherokee County, NC",0.1104
cty37187,"Washington County, NC",0.1103
cty47139,"Polk County, TN",0.1102
cty47123,"Monroe County, TN",0.1094
cty47073,"Hawkins County, TN",0.1088
cty37107,"Lenoir County, NC",0.1086
cty45011,"Barnwell County, SC",0.1086
cty45057,"Lancaster County, SC",0.1079
cty39163,"Vinton County, OH",0.1078
cty47153,"Sequatchie County, TN",0.1075
cty48405,"San Augustine County, TX",0.1072
cty37117,"Martin County, NC",0.1067
cty45017,"Calhoun County, SC",0.1056
cty45025,"Chesterfield County, SC",0.1055
cty37083,"Halifax County, NC",0.105
cty37047,"Columbus County, NC",0.1049
cty45027,"Clarendon County, SC",0.1046
cty47081,"Hickman County, TN",0.1045
cty45021,"Cherokee County, SC",0.1042
cty45059,"Laurens County, SC",0.1041
cty47097,"Lauderdale County, TN",0.1039
cty37091,"Hertford County, NC",0.1038
cty47057,"Grainger County, TN",0.1037
cty37017,"Bladen County, NC",0.1032
cty47111,"Macon County, TN",0.1031
cty37173,"Swain County, NC",0.1015
cty37131,"Northampton County, NC",0.1013
cty45049,"Hampton County, SC",0.1012
cty37123,"Montgomery County, NC",0.101
cty37009,"Ashe County, NC",0.1003
cty48489,"Willacy County, TX",0.0995
cty48507,"Zavala County, TX",0.0989
cty45075,"Orangeburg County, SC",0.0984
cty47067,"Hancock County, TN",0.0981
cty48267,"Kimble County, TX",0.0978
cty37181,"Vance County, NC",0.0977
cty45001,"Abbeville County, SC",0.0977
cty45029,"Colleton County, SC",0.0976
cty47059,"Greene County, TN",0.0946
cty37007,"Anson County, NC",0.0944
cty37115,"Madison County, NC",0.0927
cty47173,"Union County, TN",0.0917
cty37185,"Warren County, NC",0.0886
cty37165,"Scotland County, NC",0.0884
cty47049,"Fentress County, TN",0.0858
cty45023,"Chester County, SC",0.0842
cty47075,"Haywood County, TN",0.084
cty45039,"Fairfield County, SC",0.0835
cty47069,"Hardeman County, TN",0.0825
cty45065,"McCormick County, SC",0.082
cty45087,"Union County, SC",0.0808
cty47151,"Scott County, TN",0.0808
cty45033,"Dillon County, SC",0.08
cty37155,"Robeson County, NC",0.0782
cty45009,"Bamberg County, SC",0.0769
cty37065,"Edgecombe County, NC",0.0762
cty45089,"Williamsburg County, SC",0.0747
cty47175,"Van Buren County, TN",0.0743
cty40001,"Adair County, OK",0.0716
cty45053,"Jasper County, SC",0.0707
cty45067,"Marion County, SC",0.07
cty47095,"Lake County, TN",0.0686
cty47091,"Johnson County, TN",0.0682
cty47061,"Grundy County, TN",0.0659
cty45069,"Marlboro County, SC",0.0618
cty45061,"Lee County, SC",0.0614
cty45005,"Allendale County, SC",0.04
cty46113,,
cty38013,"Burke County, ND",0.4572
cty51059,"Fairfax County, VA",0.3916
cty51107,"Loudoun County, VA",0.3543
cty51600,"Fairfax city, VA",0.3176
cty51735,"Poquoson city, VA",0.3097
cty51013,"Arlington County, VA",0.2923
cty51683,"Manassas city, VA",0.2906
cty53033,"King County, WA",0.284
cty51095,"James City County, VA",0.2821
cty51199,"York County, VA",0.2769
cty51003,"Albemarle County, VA",0.2765
cty51153,"Prince William County, VA",0.2752
cty51061,"Fauquier County, VA",0.2745
cty51179,"Stafford County, VA",0.2727
cty53075,"Whitman County, WA",0.2725
cty51085,"Hanover County, VA",0.2677
cty51075,"Goochland County, VA",0.263
cty54061,"Monongalia County, WV",0.2617
cty51041,"Chesterfield County, VA",0.2588
cty51570,"Colonial Heights city, VA",0.2588
cty51161,"Roanoke County, VA",0.2528
cty54051,"Marshall County, WV",0.2493
cty53037,"Kittitas County, WA",0.2489
cty53061,"Snohomish County, WA",0.2479
cty51510,"Alexandria city, VA",0.2448
cty54069,"Ohio County, WV",0.2411
cty54033,"Harrison County, WV",0.24
cty51043,"Clarke County, VA",0.239
cty53005,"Benton County, WA",0.2381
cty51830,"Williamsburg city, VA",0.2353
cty54073,"Pleasants County, WV",0.2353
cty51099,"King George County, VA",0.2325
cty53073,"Whatcom County, WA",0.2319
cty54013,"Calhoun County, WV",0.2312
cty51087,"Henrico County, VA",0.2298
cty54049,"Marion County, WV",0.2298
cty51177,"Spotsylvania County, VA",0.2285
cty51840,"Winchester city, VA",0.2259
cty53055,"San Juan County, WA",0.2205
cty54079,"Putnam County, WV",0.2202
cty51127,"New Kent County, VA",0.2189
cty51121,"Montgomery County, VA",0.2185
cty53007,"Chelan County, WA",0.2174
cty53035,"Kitsap County, WA",0.2164
cty51069,"Frederick County, VA",0.2151
cty51023,"Botetourt County, VA",0.2147
cty51750,"Radford city, VA",0.212
cty53067,"Thurston County, WA",0.212
cty54009,"Brooke County, WV",0.212
cty51019,"Bedford County, VA",0.2111
cty53017,"Douglas County, WA",0.2108
cty53011,"Clark County, WA",0.2091
cty53057,"Skagit County, WA",0.2081
cty53053,"Pierce County, WA",0.208
cty53029,"Island County, WA",0.2075
cty53063,"Spokane County, WA",0.2062
cty54029,"Hancock County, WV",0.2056
cty51145,"Powhatan County, VA",0.2052
cty51005,"Alleghany County, VA",0.2051
cty53031,"Jefferson County, WA",0.2042
cty51810,"Virginia Beach city, VA",0.2039
cty53001,"Adams County, WA",0.2025
cty53015,"Cowlitz County, WA",0.2024
cty53049,"Pacific County, WA",0.1994
cty51775,"Salem city, VA",0.1992
cty54095,"Tyler County, WV",0.1976
cty51660,"Harrisonburg city, VA",0.1975
cty51187,"Warren County, VA",0.1971
cty53025,"Grant County, WA",0.1952
cty51101,"King William County, VA",0.1946
cty51185,"Tazewell County, VA",0.1943
cty51540,"Charlottesville city, VA",0.1943
cty51047,"Culpeper County, VA",0.1939
cty54039,"Kanawha County, WV",0.1937
cty51073,"Gloucester County, VA",0.1928
cty53065,"Stevens County, WA",0.1924
cty54041,"Lewis County, WV",0.1917
cty53041,"Lewis County, WA",0.1915
cty54097,"Upshur County, WV",0.1914
cty51027,"Buchanan County, VA",0.1909
cty54077,"Preston County, WV",0.1906
cty53059,"Skamania County, WA",0.1897
cty53071,"Walla Walla County, WA",0.1892
cty54081,"Raleigh County, WV",0.188
cty51149,"Prince George County, VA",0.1871
cty53027,"Grays Harbor County, WA",0.187
cty51093,"Isle of Wight County, VA",0.1869
cty51171,"Shenandoah County, VA",0.1869
cty53039,"Klickitat County, WA",0.1866
cty54093,"Tucker County, WV",0.1857
cty53003,"Asotin County, WA",0.1854
cty54005,"Boone County, WV",0.1854
cty51165,"Rockingham County, VA",0.1852
cty51119,"Middlesex County, VA",0.1849
cty54007,"Braxton County, WV",0.1848
cty53051,"Pend Oreille County, WA",0.1846
cty51031,"Campbell County, VA",0.1843
cty51620,"Franklin city, VA",0.1834
cty51550,"Chesapeake city, VA",0.1832
cty54067,"Nicholas County, WV",0.1829
cty54021,"Gilmer County, WV",0.1826
cty54011,"Cabell County, WV",0.1825
cty53021,"Franklin County, WA",0.1806
cty54091,"Taylor County, WV",0.1805
cty54057,"Mineral County, WV",0.1804
cty53009,"Clallam County, WA",0.18
cty51630,"Fredericksburg city, VA",0.1799
cty53047,"Okanogan County, WA",0.1799
cty54037,"Jefferson County, WV",0.1796
cty54017,"Doddridge County, WV",0.1789
cty54045,"Logan County, WV",0.1735
cty51011,"Appomattox County, VA",0.1725
cty51137,"Orange County, VA",0.1724
cty51680,"Lynchburg city, VA",0.172
cty54001,"Barbour County, WV",0.1708
cty51009,"Amherst County, VA",0.1699
cty51163,"Rockbridge County, VA",0.1696
cty54055,"Mercer County, WV",0.1696
cty54003,"Berkeley County, WV",0.1686
cty54035,"Jackson County, WV",0.168
cty53077,"Yakima County, WA",0.1678
cty51109,"Louisa County, VA",0.1676
cty51015,"Augusta County, VA",0.1655
cty53045,"Mason County, WA",0.1643
cty51685,"Manassas Park city, VA",0.1633
cty51113,"Madison County, VA",0.162
cty54083,"Randolph County, WV",0.1617
cty54019,"Fayette County, WV",0.1611
cty51159,"Richmond County, VA",0.1601
cty51063,"Floyd County, VA",0.1579
cty54087,"Roane County, WV",0.1578
cty54099,"Wayne County, WV",0.1572
cty51790,"Staunton city, VA",0.157
cty51141,"Patrick County, VA",0.1569
cty54059,"Mingo County, WV",0.1567
cty54025,"Greenbrier County, WV",0.1559
cty51065,"Fluvanna County, VA",0.1557
cty54023,"Grant County, WV",0.1557
cty51800,"Suffolk city, VA",0.1538
cty51175,"Southampton County, VA",0.1531
cty51167,"Russell County, VA",0.1509
cty54063,"Monroe County, WV",0.1508
cty51143,"Pittsylvania County, VA",0.1505
cty54053,"Mason County, WV",0.1486
cty51079,"Greene County, VA",0.148
cty51001,"Accomack County, VA",0.1477
cty54085,"Ritchie County, WV",0.1477
cty51191,"Washington County, VA",0.1472
cty51520,"Bristol city, VA",0.1471
cty51125,"Nelson County, VA",0.1464
cty54027,"Hampshire County, WV",0.1459
cty51155,"Pulaski County, VA",0.1458
cty51195,"Wise County, VA",0.1458
cty51820,"Waynesboro city, VA",0.1452
cty51033,"Caroline County, VA",0.144
cty51139,"Page County, VA",0.1439
cty51067,"Franklin County, VA",0.1436
cty51053,"Dinwiddie County, VA",0.1434
cty54043,"Lincoln County, WV",0.1432
cty51181,"Surry County, VA",0.1431
cty51193,"Westmoreland County, VA",0.1427
cty51071,"Giles County, VA",0.1424
cty51700,"Newport News city, VA",0.1423
cty51135,"Nottoway County, VA",0.1412
cty51083,"Halifax County, VA",0.141
cty51640,"Galax city, VA",0.1409
cty54065,"Morgan County, WV",0.1401
cty51197,"Wythe County, VA",0.14
cty54071,"Pendleton County, WV",0.1392
cty51111,"Lunenburg County, VA",0.1391
cty51580,"Covington city, VA",0.1383
cty51007,"Amelia County, VA",0.1379
cty54031,"Hardy County, WV",0.135
cty54015,"Clay County, WV",0.1349
cty51650,"Hampton city, VA",0.1325
cty51051,"Dickenson County, VA",0.1315
cty54089,"Summers County, WV",0.1302
cty51036,"Charles City County, VA",0.13
cty51029,"Buckingham County, VA",0.129
cty51089,"Henry County, VA",0.1283
cty51035,"Carroll County, VA",0.1277
cty51077,"Grayson County, VA",0.1264
cty51105,"Lee County, VA",0.1263
cty54075,"Pocahontas County, WV",0.1249
cty51169,"Scott County, VA",0.1248
cty51117,"Mecklenburg County, VA",0.1244
cty51670,"Hopewell city, VA",0.1224
cty51183,"Sussex County, VA",0.1218
cty51147,"Prince Edward County, VA",0.1217
cty51530,"Buena Vista city, VA",0.1196
cty54047,"McDowell County, WV",0.1194
cty51690,"Martinsville city, VA",0.1184
cty51173,"Smyth County, VA",0.1169
cty51025,"Brunswick County, VA",0.1168
cty51081,"Greensville County, VA",0.1167
cty51770,"Roanoke city, VA",0.1145
cty51131,"Northampton County, VA",0.1123
cty51515,,
cty38065,"Oliver County, ND",0.4566
cty46063,"Harding County, SD",0.4514
cty38001,"Adams County, ND",0.4487
cty38025,"Dunn County, ND",0.4413
cty38061,"Mountrail County, ND",0.4398
cty38053,"McKenzie County, ND",0.4305
cty38057,"Mercer County, ND",0.4278
cty34003,"Bergen County, NJ",0.4209
cty38011,"Bowman County, ND",0.413
cty38033,"Golden Valley County, ND",0.408
cty38087,"Slope County, ND",0.4044
cty34019,"Hunterdon County, NJ",0.4043
cty48235,"Irion County, TX",0.4033
cty25021,"Norfolk County, MA",0.4023
cty38031,"Foster County, ND",0.4023
cty38055,"McLean County, ND",0.4019
cty38007,"Billings County, ND",0.3958
cty38019,"Cavalier County, ND",0.3931
cty34035,"Somerset County, NJ",0.3929
cty38045,"LaMoure County, ND",0.3894
cty24027,"Howard County, MD",0.3854
cty46021,"Campbell County, SD",0.383
cty38075,"Renville County, ND",0.3804
cty38023,"Divide County, ND",0.3793
cty02230,"Skagway Municipality, AK",0.3779
cty34025,"Monmouth County, NJ",0.3776
cty48461,"Upton County, TX",0.3763
cty56039,"Teton County, WY",0.3722
cty30019,"Daniels County, MT",0.3707
cty38091,"Steele County, ND",0.3704
cty25017,"Middlesex County, MA",0.3683
cty56035,"Sublette County, WY",0.368
cty06041,"Marin County, CA",0.3655
cty38037,"Grant County, ND",0.3648
cty31169,"Thayer County, NE",0.3638
cty51610,"Falls Church city, VA",0.3631
cty24031,"Montgomery County, MD",0.3612
cty38043,"Kidder County, ND",0.3603
cty38049,"McHenry County, ND",0.3587
cty40129,"Roger Mills County, OK",0.3577
cty38069,"Pierce County, ND",0.3572
cty38041,"Hettinger County, ND",0.3569
cty31039,"Cuming County, NE",0.3559
cty34037,"Sussex County, NJ",0.3554
cty38095,"Towner County, ND",0.3553
cty34023,"Middlesex County, NJ",0.354
cty56011,"Crook County, WY",0.352
cty02068,"Denali Borough, AK",0.3515
cty20131,"Nemaha County, KS",0.3497
cty27019,"Carver County, MN",0.3471
cty48175,"Goliad County, TX",0.3468
cty55089,"Ozaukee County, WI",0.3466
cty31135,"Perkins County, NE",0.3458
cty56005,"Campbell County, WY",0.3449
cty19027,"Carroll County, IA",0.3446
cty48033,"Borden County, TX",0.3442
cty27163,"Washington County, MN",0.344
cty31027,"Cedar County, NE",0.3432
cty31011,"Boone County, NE",0.3413
cty30025,"Fallon County, MT",0.3404
cty25019,"Nantucket County, MA",0.339
cty30083,"Richland County, MT",0.3379
cty27149,"Stevens County, MN",0.3376
cty20091,"Johnson County, KS",0.3366
cty27037,"Dakota County, MN",0.3365
cty18057,"Hamilton County, IN",0.3346
cty55133,"Waukesha County, WI",0.334
cty31127,"Nemaha County, NE",0.3337
cty20063,"Gove County, KS",0.3328
cty27081,"Lincoln County, MN",0.3325
cty25023,"Plymouth County, MA",0.3323
cty06081,"San Mateo County, CA",0.3312
cty20187,"Stanton County, KS",0.3305
cty38039,"Griggs County, ND",0.3293
cty09013,"Tolland County, CT",0.3291
cty22093,"St. James Parish, LA",0.3286
cty46097,"Miner County, SD",0.3286
cty56027,"Niobrara County, WY",0.3285
cty38103,"Wells County, ND",0.328
cty38073,"Ransom County, ND",0.3276
cty46049,"Faulk County, SD",0.3276
cty08035,"Douglas County, CO",0.3272
cty46073,"Jerauld County, SD",0.3265
cty31035,"Clay County, NE",0.3251
cty19109,"Kossuth County, IA",0.3248
cty17097,"Lake County, IL",0.3244
cty56037,"Sweetwater County, WY",0.3244
cty17133,"Monroe County, IL",0.324
cty46119,"Sully County, SD",0.3233
cty35028,"Los Alamos County, NM",0.3229
cty46043,"Douglas County, SD",0.3228
cty48205,"Hartley County, TX",0.3223
cty38029,"Emmons County, ND",0.3223
cty31085,"Hayes County, NE",0.3218
cty30011,"Carter County, MT",0.3218
cty46087,"McCook County, SD",0.3208
cty19167,"Sioux County, IA",0.3202
cty24013,"Carroll County, MD",0.3188
cty19091,"Humboldt County, IA",0.3184
cty25009,"Essex County, MA",0.3182
cty56031,"Platte County, WY",0.3182
cty31143,"Polk County, NE",0.318
cty56009,"Converse County, WY",0.3179
cty27139,"Scott County, MN",0.3176
cty17063,"Grundy County, IL",0.3173
cty06085,"Santa Clara County, CA",0.3164
cty46045,"Edmunds County, SD",0.3162
cty09007,"Middlesex County, CT",0.3152
cty19169,"Story County, IA",0.3151
cty34039,"Union County, NJ",0.315
cty27049,"Goodhue County, MN",0.3148
cty55093,"Pierce County, WI",0.3146
cty18037,"Dubois County, IN",0.3134
cty46089,"McPherson County, SD",0.313
cty20071,"Greeley County, KS",0.3127
cty30109,"Wibaux County, MT",0.3126
cty48413,"Schleicher County, TX",0.3126
cty19151,"Pocahontas County, IA",0.312
cty08097,"Pitkin County, CO",0.312
cty08103,"Rio Blanco County, CO",0.3116
cty36001,"Albany County, NY",0.3111
cty24009,"Calvert County, MD",0.3109
cty17027,"Clinton County, IL",0.3108
cty19119,"Lyon County, IA",0.3098
cty38063,"Nelson County, ND",0.3098
cty46059,"Hand County, SD",0.3094
cty48095,"Concho County, TX",0.3083
cty17111,"McHenry County, IL",0.3082
cty36027,"Dutchess County, NY",0.3082
cty55131,"Washington County, WI",0.3081
cty19017,"Bremer County, IA",0.3072
cty27129,"Renville County, MN",0.3071
cty31091,"Hooker County, NE",0.3066
cty27109,"Olmsted County, MN",0.3064
cty38081,"Sargent County, ND",0.3064
cty30055,"McCone County, MT",0.3064
cty19037,"Chickasaw County, IA",0.3058
cty27121,"Pope County, MN",0.3047
cty19061,"Dubuque County, IA",0.3042
cty48295,"Lipscomb County, TX",0.3039
cty55109,"St. Croix County, WI",0.3038
cty56019,"Johnson County, WY",0.3031
cty56017,"Hot Springs County, WY",0.303
cty19149,"Plymouth County, IA",0.3022
cty46077,"Kingsbury County, SD",0.3019
cty17203,"Woodford County, IL",0.3014
cty25027,"Worcester County, MA",0.3011
cty27145,"Stearns County, MN",0.3009
cty06013,"Contra Costa County, CA",0.3008
cty30091,"Sheridan County, MT",0.2996
cty09005,"Litchfield County, CT",0.2995
cty34041,"Warren County, NJ",0.2994
cty31023,"Butler County, NE",0.2993
cty27053,"Hennepin County, MN",0.2992
cty19049,"Dallas County, IA",0.2985
cty48263,"Kent County, TX",0.2984
cty38021,"Dickey County, ND",0.2982
cty13113,"Fayette County, GA",0.2978
cty09003,"Hartford County, CT",0.2977
cty27011,"Big Stone County, MN",0.2976
cty32015,"Lander County, NV",0.2976
cty31177,"Washington County, NE",0.2972
cty20033,"Comanche County, KS",0.2969
cty48173,"Glasscock County, TX",0.2967
cty24003,"Anne Arundel County, MD",0.2966
cty19075,"Grundy County, IA",0.2962
cty19147,"Palo Alto County, IA",0.2961
cty19009,"Audubon County, IA",0.2958
cty33015,"Rockingham County, NH",0.2958
cty19095,"Iowa County, IA",0.2956
cty19141,"O'Brien County, IA",0.2952
cty24037,"St. Mary's County, MD",0.2951
cty31181,"Webster County, NE",0.2951
cty38027,"Eddy County, ND",0.2951
cty30021,"Dawson County, MT",0.2946
cty34005,"Burlington County, NJ",0.2944
cty31115,"Loup County, NE",0.2943
cty19103,"Johnson County, IA",0.2941
cty19131,"Mitchell County, IA",0.2941
cty34021,"Mercer County, NJ",0.2941
cty19055,"Delaware County, IA",0.294
cty27173,"Yellow Medicine County, MN",0.2939
cty27125,"Red Lake County, MN",0.2939
cty24021,"Frederick County, MD",0.2937
cty24025,"Harford County, MD",0.2935
cty34015,"Gloucester County, NJ",0.2935
cty22089,"St. Charles Parish, LA",0.2933
cty26125,"Oakland County, MI",0.2932
cty27085,"McLeod County, MN",0.2932
cty51678,"Lexington city, VA",0.2928
cty31003,"Antelope County, NE",0.2924
cty22023,"Cameron Parish, LA",0.2923
cty48081,"Coke County, TX",0.2923
cty06075,"San Francisco County, CA",0.2922
cty27083,"Lyon County, MN",0.2922
cty31077,"Greeley County, NE",0.2919
cty31029,"Chase County, NE",0.2918
cty55091,"Pepin County, WI",0.2917
cty27155,"Traverse County, MN",0.2916
cty17197,"Will County, IL",0.2913
cty27157,"Wabasha County, MN",0.2913
cty19035,"Cherokee County, IA",0.2912
cty17155,"Putnam County, IL",0.2912
cty20051,"Ellis County, KS",0.2909
cty08107,"Routt County, CO",0.2908
cty27039,"Dodge County, MN",0.2903
cty31075,"Grant County, NE",0.2903
cty08113,"San Miguel County, CO",0.2902
cty46061,"Hanson County, SD",0.29
cty09009,"New Haven County, CT",0.2897
cty33011,"Hillsborough County, NH",0.2897
cty19191,"Winneshiek County, IA",0.2896
cty31097,"Johnson County, NE",0.2895
cty31137,"Phelps County, NE",0.2894
cty20189,"Stevens County, KS",0.2887
cty27041,"Douglas County, MN",0.2886
cty55025,"Dane County, WI",0.2883
cty20195,"Trego County, KS",0.2883
cty17013,"Calhoun County, IL",0.288
cty48483,"Wheeler County, TX",0.2879
cty31149,"Rock County, NE",0.2875
cty19165,"Shelby County, IA",0.2872
cty19031,"Cedar County, IA",0.287
cty31059,"Fillmore County, NE",0.287
cty38067,"Pembina County, ND",0.287
cty27079,"Le Sueur County, MN",0.2869
cty27127,"Redwood County, MN",0.2869
cty31063,"Frontier County, NE",0.2863
cty17093,"Kendall County, IL",0.2861
cty34029,"Ocean County, NJ",0.2861
cty27069,"Kittson County, MN",0.2858
cty31141,"Platte County, NE",0.2856
cty27151,"Swift County, MN",0.2854
cty31185,"York County, NE",0.2851
cty38051,"McIntosh County, ND",0.285
cty27015,"Brown County, MN",0.2847
cty38047,"Logan County, ND",0.2845
cty31159,"Seward County, NE",0.2844
cty27073,"Lac qui Parle County, MN",0.2842
cty27171,"Wright County, MN",0.2839
cty27133,"Rock County, MN",0.2837
cty21185,"Oldham County, KY",0.2834
cty27167,"Wilkin County, MN",0.2833
cty19025,"Calhoun County, IA",0.2822
cty27119,"Polk County, MN",0.282
cty31057,"Dundy County, NE",0.2817
cty48211,"Hemphill County, TX",0.2817
cty19189,"Winnebago County, IA",0.2813
cty55015,"Calumet County, WI",0.2813
cty19125,"Marion County, IA",0.2812
cty46105,"Perkins County, SD",0.2811
cty30079,"Prairie County, MT",0.2809
cty48359,"Oldham County, TX",0.2809
cty48435,"Sutton County, TX",0.2808
cty06061,"Placer County, CA",0.2804
cty22057,"Lafourche Parish, LA",0.2804
cty46025,"Clark County, SD",0.2804
cty40043,"Dewey County, OK",0.2804
cty08037,"Eagle County, CO",0.2791
cty19083,"Hardin County, IA",0.2791
cty22005,"Ascension Parish, LA",0.2791
cty31013,"Box Butte County, NE",0.2791
cty56041,"Uinta County, WY",0.2791
cty08125,"Yuma County, CO",0.279
cty19161,"Sac County, IA",0.279
cty20025,"Clark County, KS",0.279
cty56025,"Natrona County, WY",0.2788
cty30095,"Stillwater County, MT",0.2787
cty08005,"Arapahoe County, CO",0.2786
cty25005,"Bristol County, MA",0.2786
cty40003,"Alfalfa County, OK",0.2784
cty56023,"Lincoln County, WY",0.2782
cty24005,"Baltimore County, MD",0.278
cty20203,"Wichita County, KS",0.278
cty40053,"Grant County, OK",0.2779
cty19065,"Fayette County, IA",0.2778
cty22007,"Assumption Parish, LA",0.2778
cty27089,"Marshall County, MN",0.2774
cty27123,"Ramsey County, MN",0.2774
cty17189,"Washington County, IL",0.277
cty30043,"Jefferson County, MT",0.2768
cty20117,"Marshall County, KS",0.2766
cty06017,"El Dorado County, CA",0.2764
cty24035,"Queen Anne's County, MD",0.2761
cty31033,"Cheyenne County, NE",0.276
cty17113,"McLean County, IL",0.2758
cty19023,"Butler County, IA",0.2758
cty27141,"Sherburne County, MN",0.2756
cty27147,"Steele County, MN",0.2754
cty27067,"Kandiyohi County, MN",0.2752
cty48393,"Roberts County, TX",0.2751
cty34031,"Passaic County, NJ",0.275
cty27107,"Norman County, MN",0.2749
